Timestamp,Category,Title,URL to resource,Resource author,Your name (optional),Your contact info (optional),Extra notes
,Petition,Alejandro Vargas Martinez,https://www.change.org/p/florida-police-department-justice-for-alejandro-vargas-martinez,,,,
,Petition,Tete Gulley,https://www.change.org/p/portland-police-bureau-justice-for-tete,,,,
,Petition,Kyjuanzi Harris,https://www.change.org/p/illinois-governor-correcting-a-wrongful-conviction-kyjuanzi-harris,,,,
,Petition,Ahmaud Arbery (3),https://www.change.org/p/fbi-criminal-charges-for-travis-greg-mcmichael-in-the-murder-of-black-jogger-ahmaud-arbery,,,,
,Petition,Sean,https://www.change.org/p/white-house-justice-for-sean,,,,
,Petition,Giovanni López,https://www.change.org/p/gobiernojalisco-fiscaliajal-enriquealfaror-justicia-para-giovanni-l%C3%B3pez-justiciaparagiovani,,,,
,Petition,Bernardo Palacios,https://www.change.org/p/salt-lake-city-police-department-release-the-body-cam-footage-of-bernardo-palacios,,,,
,Petition,Dafonte Miller,https://www.change.org/p/minister-of-the-attorney-general-justice-for-dafontemiller-oshawa,,,,
,Petition,Mike Ramos,https://www.change.org/p/mayor-steve-adler-justice-for-mike-ramos,,,,
,Petition,James Scurlock,https://www.change.org/p/let-the-grand-jury-decide-not-don-kleine,,,,
,Petition,Dominique Clayton,https://www.change.org/p/justice-for-dominique-clayton,,,,
,Petition,Anderson Arboleda,https://www.change.org/p/fiscaliacol-justicia-para-anderson-arboleda-joven-afro-asesinado-a-golpes-por-un-polic%C3%ADa-en-el-cauca-justiciaparaandersonarboleda-policiacolombia-cgr-colombia-pgn-col-defensoriacol,,,,
,Petition,Iyad Al-Khalak/Eyad Hallaq,https://www.change.org/p/israel-police-department-justice-for-iyad-al-khalak-eyad-hallaq,,,,
,Petition,Curtis Price,https://www.change.org/p/governor-of-south-carolina-south-carolina-supreme-court-south-carolina-senators-free-curtis-price,,,,
,Petition,Kenneth Reams,https://www.change.org/p/amnesty-international-free-kenneth-reams-he-s-been-on-death-row-for-the-past-26-years-he-never-killed-anybody,,,,
,Petition,Chaffin Darnel Y,https://www.change.org/p/everyone-and-the-police-of-cooks-county-illinois-free-chaffin-darnel-y,,,,
,Petition,Arrest Jared Campbell,https://www.change.org/p/seattle-police-department-arrest-jared-campbell,,,,
,Petition,Shukri Abdi,https://www.change.org/p/manchester-police-justice-for-shukri-abdi,,,,
,Petition,Fire Michael Moore,https://www.change.org/p/la-county-fire-lapd-chief-michael-moore,,,,
,Petition,Sandra Bland,https://www.change.org/p/texas-governor-i-want-sandra-bland-s-case-reopened,,,,
,Petition,Ashton Dickson,https://www.change.org/p/mayor-of-ottawa-justice-for-ashton-dickson-he-was-killed-at-the-age-of-25-and-had-a-bright-future-ahead,,,,
,Petition,David McAtee,https://www.change.org/p/louisville-mayor-greg-fischer-justice-for-david-mcatee,,,,
,Learning resource (book or article or instagram post or twitter post etc),Systemic Racism Explained,https://youtu.be/YrHIQIO_bdQ,,,,
,Learning resource (book or article or instagram post or twitter post etc),Letters To Your Parents About BLM,https://docs.google.com/document/d/1qwon6Q-h3YC2n_vZGKIVxZxEhXG8ZQah4IVCMQzGaUk/edit,,,,
,Learning resource (book or article or instagram post or twitter post etc),Lesson Plan On Being An Ally,https://docs.google.com/document/d/1H-Vxs6jEUByXylMS2BjGH1kQ7mEuZnHpPSs1Bpaqmw0/mobilebasic,,,,
,Learning resource (book or article or instagram post or twitter post etc),Racism And Anti-Blackness,https://docs.google.com/spreadsheets/d/1bUJrgX8vspyy7YttiEC2vD0DawrpPYiZs94V0ov7qZQ/htmlview,,,,
,Learning resource (book or article or instagram post or twitter post etc),Misinformation Thread,https://twitter.com/kyleauxren/status/1266610299601330179?s=21,,,,
,Learning resource (book or article or instagram post or twitter post etc),Black History Google Doc,https://drive.google.com/drive/mobile/folders/0Bz011IF2Pu9TUWIxVWxybGJ1Ync,,,,
,Learning resource (book or article or instagram post or twitter post etc),Anti Racism Resources,https://docs.google.com/document/u/0/d/1BRlF2_zhNe86SGgHa6-VlBO-QgirITwCTugSfKie5Fs/mobilebasic,,,,
,Learning resource (book or article or instagram post or twitter post etc),75 Things You Can Do For Racial Justice,https://medium.com/equality-includes-you/what-white-people-can-do-for-racial-justice-f2d18b0e0234,,,,
,Learning resource (book or article or instagram post or twitter post etc),#BLM POC Ally Research,https://docs.google.com/document/d/1_9XKuxSqlglGA79RHJIQ8YTbvuu7RwsJCA-Dx6H33MM/mobilebasic,,,,
,Learning resource (book or article or instagram post or twitter post etc),Reverse Racism Is A Myth,https://twitter.com/morelftv/status/1265768096297607169?s=21,,,,
,Learning resource (book or article or instagram post or twitter post etc),Anti-Racism For Beginners,https://docs.google.com/document/d/1S5uckFHCA_XZkxG0Zg5U4GQGbY_RklZARwu43fqJH0E/mobilebasic,,,,
,Learning resource (book or article or instagram post or twitter post etc),Anti-Racism/The Prison-Industrial Complex,https://blmthought.carrd.co/,,,,
,Learning resource (book or article or instagram post or twitter post etc),PBS Segment On George Floyd,https://www.pbs.org/newshour/show/roxane-gay-anna-deavere-smith-and-tay-anderson-on-the-protests-hope-and-despair,,,,
,Learning resource (book or article or instagram post or twitter post etc),Info On Prison Abolition,https://docs.google.com/document/d/1wdmTPwiZkiPZnwKauzmcZLqUTdUe00WrCIwj7r4A7Zk/mobilebasic,,,,
,Learning resource (book or article or instagram post or twitter post etc),Education Resources,https://docs.google.com/document/d/11DKdCd4AUmwcG6igDLz9rlYJcdrJzGP6cmy3s7gNgDQ/mobilebasic,,,,
,Petition,George Floyd - change.org,https://www.change.org/p/mayor-jacob-frey-justice-for-george-floyd?recruiter=895898514&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_initial&recruited_by_id=6a4669c0-a74d-11e8-a554-dd9015f4e479,,,,
,Petition,George Floyd - change.org 2,https://t.co/ENgYhM2oEC,,,,
,Petition,George Floyd - thepetitionsite.com,https://www.thepetitionsite.com/248/031/510/justice-for-george-floyd-another-black-man-needlessly-murdered-by-police/?taf_id=65858665&cid=fb_na,,,,
,Petition,George Floyd - amnesty.org,https://www.amnesty.org/en/get-involved/take-action/george-floyd-police-violence-usa/,,,,
,Petition,George Floyd - colorofchange.org,https://act.colorofchange.org/sign/justiceforfloyd_george_floyd_minneapolis/?source=dm_sms_optin_5-26-20,,,,
,Petition,Get The Officers Charged,https://t.co/lPsRQq6GqD,,,,
,Petition,Charge All Four Officers,https://www.change.org/p/change-org-the-minneapolis-police-officers-to-be-charged-for-murder-after-killing-innocent-black-man,,,,
,Petition,Breonna Taylor - moveon.org,https://sign.moveon.org/petitions/justiceforbre-police-officers-who-killed-breonna-taylor-must-be-fired?bucket=&source=twitter-share-button&utm_campaign=&utm_source=twitter&share=e57b02c1-bd0f-497f-8365-f51d6114576f,,,,
,Petition,Breonna Taylor - colorofchange.org,https://act.colorofchange.org/sign/justiceforbre-breonna-taylor-officers-fired?source=coc_main_website,,,,
,Petition,Breonna Taylor - justiceforbreonna.org,https://action.justiceforbreonna.org/sign/BreonnaWasEssential/,,,,
,Petition,Breonna Taylor - change.org,https://www.change.org/p/andy-beshear-justice-for-breonna-taylor,,,,
,Petition,Breonna Taylor - thepetitionsite.com,https://www.thepetitionsite.com/152/670/429/justice-for-breonna-taylor-another-innocent-black-woman-murdered-by-police-in-her-own-home/,,,,
,Petition,Ahmaud Arbery - change.org,https://www.change.org/p/federal-bureau-of-investigation-disbarment-of-george-e-barnhill,,,,
,Petition,Ahmaud Arbery - change.org 2,https://www.change.org/p/human-rights-campaign-justice-for-ahmuad-aubrey-2,,,,
,Petition,Ahmaud Arbery - change.org 3,https://www.change.org/p/district-attorney-tom-durden-justice-for-ahmaud-arbery-i-run-with-maud,,,,
,Petition,Pass The Georgia Hate Crime Bill,https://www.change.org/p/governor-brian-kemp-justice-for-ahmaud-arbery,,,,
,Petition,Defund MPD,https://secure.everyaction.com/eR7GA7oz70GL8doBq19LrA2,,,,
,Petition,Life Sentence For Police Brutality,https://www.change.org/p/department-of-justice-mandatory-life-sentence-for-police-brutality,,,,
,Petition,Regis Korchinski - change.org,https://t.co/fqxvTJ76gE,,,,
,Petition,Tony McDade - change.org,https://www.change.org/p/black-lives-matter-activists-justice-for-tony-mcdade,,,,
,Petition,Tony McDade - actionnetwork.org,https://actionnetwork.org/letters/demand-justice-for-tony-mcdade?source=direct_link&,,,,
,Petition,Tony McDade - thepetitionsite.com,https://www.thepetitionsite.com/takeaction/296/898/575/,,,,
,Petition,Joao Pedro - change.org,http://chng.it/FjJ7ZD4q5p,,,,
,Petition,Julius Jones - change.org,https://www.change.org/p/julius-jones-is-innocent-don-t-let-him-be-executed-by-the-state-of-oklahoma?recruiter=1094475756&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_abi&utm_term=psf_combo_share_initial&recruited_by_id=8f486ef0-a078-11ea-8e7f-d5aa545940b3,,,,
,Petition,Belly Mujinga - change.org,https://www.change.org/p/govia-thameslink-justice-for-belly-mujinga?recruiter=false&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_initial&recruited_by_id=ffad40c0-a0c4-11ea-ac15-4118e05249bd,,,,
,Petition,Willie Simmons - change.org,https://www.change.org/p/alabama-governor-kay-ivey-willie-simmons-has-served-38-years-for-a-9-robbery?recruiter=962817259&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_abi&utm_term=psf_combo_share_abi&recruited_by_id=bb52c480-7a65-11e9-859f-09a81b26ec6f,,,,
,Petition,Hands Up Act - change.org,https://www.change.org/p/us-senate-hands-up-act,,,,
,Petition,National Action Against Police Brutality,https://www.change.org/p/national-action-against-police-brutality-and-murder,,,,
,Petition,Kyjuanzi Harris - change.org,https://www.change.org/p/illinois-governor-correcting-a-wrongful-conviction-kyjuanzi-harris,,,,
,Petition,Alejandro Vargas Martinez - change.org,https://www.change.org/p/florida-police-department-justice-for-alejandro-vargas-martinez,,,,
,Petition,Censorship Of Police Brutality In France,https://www.change.org/p/gouvernement-français-refus-de-la-loi-visant-à-empêcher-la-diffusion-des-images-de-violences-policières?utm_content=cl_sharecopy_22450892_fr-FR%3Av5&recruiter=792266977&recruited_by_id=86f08ea0-9f58-11e7-961e-cda0813a4e4f&utm_source=share_petition&utm_medium=copylink&utm_campaign=psf_combo_share_abi&utm_term=psf_combo_share_abi,,,,
,Petition,Sean Reed - change.org,https://www.change.org/p/white-house-justice-for-sean?recruiter=69572427&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_abi&recruited_by_id=a4411689-1113-4cc7-b38b-2457ccedf381,,,,
,Petition,Sean Reed - change.org 2,https://www.change.org/p/mayor-joe-hogsett-justice-for-sean-reed,,,,
,Petition,Kendrick Johnson - change.org,https://www.change.org/p/united-states-supreme-court-justice-for-kendrick-johnson?recruiter=892242914&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_abi&utm_term=psf_combo_share_abi&recruited_by_id=84be3200-9821-11e8-a114-db091f4ac2f9,,,,
,Petition,Tamir Rice - change.org,https://t.co/Xn18ESgrLz,,,,
,Petition,Tamir Rice - change.org 2,https://www.change.org/p/justice-for-tamir-rice-appoint-a-special-prosecutor,,,,
,Petition,Fire Racist Criminal From The NYPD,https://t.co/Fhd6jxbEoE,,,,
,Petition,Jamee Johnson - organizefor.org,https://campaigns.organizefor.org/petitions/justice-for-jamee-johnson,,,,
,Petition,Darius Stewart - change.org,https://www.change.org/p/donald-j-trump-justice-for-darrius-stewart?recruiter=1007505219&utm_source=share_petition&utm_medium=copylink&utm_campaign=tap_basic_share,,,,
,Petition,Darius Stewart - moveon.org,https://sign.moveon.org/petitions/we-want-justice-for-19,,,,
,Petition,Abolish Prison Labor,https://www.change.org/p/federal-bureau-of-prisons-abolish-prison-labour-in-the-usa?utm_source=share_petition&utm_medium=custom_url&recruited_by_id=ecb9f830-ab55-11e7-8f6a-c5345e805526,,,,
,Petition,Free Siyanda - change.org,https://www.change.org/p/free-siyanda,,,,
,Petition,Chrystul Kizer - change.org,https://www.change.org/p/drop-all-charges-against-incarcerated-trafficking-survivor-chrystul-kizer,,,,
,Petition,Chrystul Kizer - change.org 2,https://www.change.org/p/bryan-steil-wis-teen-face-life-in-prison-for-killing-man-who-allegedly-raped-her-and-sold-her-for-sex-b75d03ab-ceb7-468f-a161-4b6d1ab03767,,,,
,Petition,Andile Mchunu (Bobo) - change.org,https://www.change.org/p/bheki-cele-justice-for-andile-mchunu-bobo,,,,
,Petition,Eric Riddick - change.org,https://www.change.org/p/free-eric-riddick,,,,
,Petition,Amiya Braxton - change.org,https://www.change.org/p/bre-jackson-justice-for-amiya-braxton,,,,
,Petition,Emerald Black - change.org,https://www.change.org/p/san-leandro-police-deartment-justice-for-emerald-black,,,,
,Petition,Elijah Nichols - change.org,https://www.change.org/p/ralph-s-northam-justice-for-elijah-nichols,,,,
,Petition,Zinedine Karabo Gioia - change.org,https://www.change.org/p/the-botswana-government-justice-for-zinedine,,,,
,Petition,Angel Bumpass - change.org,https://www.change.org/p/bill-lee-demand-a-retrial-for-angel-bumpass-wrongfully-convicted-13-year-old-with-a-life-sentence,,,,
,Petition,Sheku Bayoh - change.org,https://www.change.org/p/police-scotland-investigate-the-death-of-sheku-bayoh-in-police-custody,,,,
,Donation fund,George Floyd Memorial Fund,https://t.co/mUNLnEoOEc,,,,
,Donation fund,George Floyd’s Sister’s Fund,https://www.gofundme.com/f/george-floyd-bigfloyd,,,,
,Donation fund,George Floyd’s Daughter’s Fund,https://www.gofundme.com/f/gianna-floyd-daughter-of-george-floyd-fund,,,,
,Donation fund,Breonna Taylor Fund,https://www.gofundme.com/f/9v4q2-justice-for-breonna-taylor,,,,
,Donation fund,Ahmaud Arbery Fund,https://www.gofundme.com/f/i-run-with-maud,,,,
,Donation fund,Regis Korchinski Fund,https://www.gofundme.com/f/justice-for-regis,,,,
,Donation fund,Jamee Johnson Fund,https://www.gofundme.com/f/eumzn-justice-for-jamee?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,,,,
,Donation fund,Destiny Harrison Funeral Fund,https://www.gofundme.com/f/destiny-harrison-funeral,,,,
,Donation fund,Eric Rosalia Fund,https://www.gofundme.com/f/eric-rosalia?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet,,,,
,Donation fund,Belly Mujinga Fund,https://www.gofundme.com/f/rip-belly-mujinga,,,,
,Donation fund,Dion Johnson Fund,https://www.gofundme.com/f/justice-for-dion-johnson,,,,
,Donation fund,Aaron James Fund,https://www.gofundme.com/f/rest-in-peace-aaron-quotajquot-sutton,,,,
,Donation fund,Tony McDade Fund,https://www.gofundme.com/f/in-memory-of-tony-mcdade,,,,
,Donation fund,Healing For Darnella,https://www.gofundme.com/f/peace-and-healing-for-darnella,,,,
,Donation fund,Destiny’s Dream Scholarship,https://secure.qgiv.com/for/desdresch/mobile,,,,
,Donation fund,James Scurlock Fund,https://www.gofundme.com/f/for-james-scurlocks-family,,,,
,Donation fund,Support For Leslie Fund,https://www.gofundme.com/f/csgskf-love-and-support-for-leslie,,,,
,Donation fund,Trever Belle Fund,https://www.gofundme.com/f/trevor-belle,,,,
,Donation fund,Tampa Bay Community Support,https://www.gofundme.com/f/tampa-bay-community-support-fund,,,,
,Donation fund,Brad Levi Ayala Fund,https://www.gofundme.com/f/brad-levi-ayala,,,,
,Donation fund,Alajunaye Davis Fund,https://www.gofundme.com/f/rke75-funeral-arrangements,,,,
,Donation fund,Said Joquin Fund,https://www.gofundme.com/f/justice-for-said-joquin,,,,
,Donation fund,David McAtee Fund,https://www.gofundme.com/f/justicefordavidmcatee,,,,
,Donation fund,Italia Kelley Fund,https://www.gofundme.com/f/raising-money-for-friends-daughters-murder,,,,
,Donation fund,Maurice Gordon Fund,https://www.gofundme.com/f/justiceformaurice,,,,
,Donation fund,Small Business Relief,https://www.gofundme.com/f/helping-hand-access-pr,,,,
,Donation fund,Black Owned Businesses Thread,https://twitter.com/hopewrlds/status/1266856971610632192?s=21,,,,
,Donation fund,Black Owned Businesses Atlanta,https://www.gofundme.com/f/supportblackownedbusinesses,,,,
,Donation fund,Burgerim Dallas Texas,https://www.instagram.com/p/CAzyT5gpxZ6/?igshid=1bnxp0dxa7jrh,,,,
,Donation fund,EMW Women’s,https://emwwomens.com/donate-kentucky-reproductive-freedom-fund/,,,,
,Donation fund,Scores Sports Bar Rebuild,https://www.gofundme.com/f/scores-bar-mpls-riot-rebuild,,,,
,Donation fund,SacDelux Consignment Store,https://www.gofundme.com/f/support-sacdelux-consignment-store,,,,
,Donation fund,Help Trio Thrive,https://www.gofundme.com/f/helptriothrive,,,,
,Donation fund,Rebuild Juiced Up Vapors,https://www.gofundme.com/f/juiced-up-vapors-riot-break-in,,,,
,Donation fund,Atlanta Black Owned Business Relief,https://www.gofundme.com/f/atlanta-black-owned-business-relief,,,,
,Donation fund,Rebuild Guns & Roses Boutique,https://www.gofundme.com/f/fv47qs-protect-our-community,,,,
,Donation fund,Go Get It Tobacco,https://www.gofundme.com/f/z8puys-gogetit,,,,
,Donation fund,Somali Owned Businesses,https://www.gofundme.com/f/somali-owned-businesses-affected-by-rioters,,,,
,Donation fund,Rubuild Shoe Mountain,https://www.gofundme.com/f/rebuilding-shoe-mountain,,,,
,Donation fund,Rubuild The Block,https://www.gofundme.com/f/rebuild-the-block-4-black-owned-small-businesses,,,,
,Donation fund,Minneapolis Black Owned Business Fund,https://www.gofundme.com/f/20s9h91uao,,,,
,Donation fund,Long Beach Black Owned Business,https://www.gofundme.com/f/small-lb-blackowned-business-looted-amp-set-on-fire,,,,
,Donation fund,Black Owned Business Support,https://linktr.ee/blackownedbusiness,,,,
,Donation fund,JUSTICE FOR BREONNA TAYLOR,https://www.gofundme.com/f/9v4q2-justice-for-breonna-taylor,,,,
,Donation fund,BROOKLYN BAIL FUND,https://brooklynbailfund.org/,,,,
,Donation fund,I RUN WITH AHMAUD,https://www.gofundme.com/f/i-run-with-maud,,,,
,Donation fund,IN MEMORY OF TONY MCDADE,https://www.gofundme.com/f/in-memory-of-tony-mcdade,,,,
,Donation fund,BLACK TRANS WOMAN FUND,https://www.gofundme.com/f/homeless-black-trans-women-fund?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,,,,
,Donation fund,TRAYVON MARTIN'S MOTHER'S CAMPAIGN,https://sybrinafulton.com/,,,,
,Donation fund,DESTINY HARRISON FUND,https://www.gofundme.com/f/destiny-harrison-funeral,,,,
